Somnium morale Pharaonis 	112
Mammotrectus super Bibliam  	88
Apparatus in librum Sextum 	44
Vita sancti Nicolai 	608
Consolatorium timoratae conscientiae 	81
Manuale confessorum 	102
Praeceptorium divinae legis 	57
Tractatus de lepra morali 	84
Tractatus de reformatione status coenobitici 	50
Perspectiva communis 	62
Philomena 	34
Quodlibeta quatuor 	45
De potestate regia et papali 	30
De ornatu spiritualium nuptiarum 	36
Policraticus 	120
Homilia super "In principio erat Verbum" 	54
In Priscianum 	1
Periphyseon 	26
De orthographia 	23
Summa de auditione confessionis et de sacramentis 	68
Dialogus sive Speculum ecclesiae militantis 	25
Vita Columbani et discipulorum eius 	114
De origine actibusque Getarum 	41
Expositio orationis dominicae 	52
Meditationes de passione Christi 	150
Prognosticum futuri saeculi  	192
Elogium beati Ildephonsi 	48
Codex justinianus 	26
Institutiones 	0
Liber Floridus 	12
Summulae logicales 	17
Commentarium in quattuor libros Sententiarum 	36
Historia Romana (Historia Miscella) 	36
Chirurgia magna  	20
Chirurgia parva 	38
De curis oculorum 	1
Laudes crucis attollamus 	78
Practica sive usus dictaminis 	50
Legenda sanctae Clarae virginis 	65
Leges Visigothorum 	40
Nativitas et victoria Alexandri Magni (Gesta Alexandri sive Historia de preliis Alexandri Magni sive Vita Alexandri Magni) 	123
Cicero novus 	170
Commentaria rerum graecarum 	50
De bello Italico adversus Gothos 	127
De militia 	101
De studiis et litteris 	126
Dialogi ad Petrum Paulum Histrum 	57
Epistulae familiares 	586
Epitaphium Bracii Montonis 	37
Historiarum Florentini populi libri XII 	60
Isagogicon moralis disciplinae 	181
Laudatio Florentinae urbis 	43
Oratio Heliogabali ad meretrices 	68
Oratio in funere Johannis Strozzae 	65
Oratio in funere Othonis adulescentis 	68
Oratio in hypocritas 	196
Orationes tres Homeri in triplice genere dicendi 	59
Oratiuncula ad Martinum V 	42
Rerum suo tempore gestarum liber 	75
Vita Aristotelis 	64
De primo bello punico libri IV 	146
Lex Alamannorum 	55
Lex Baiuvariorum 	48
Lex Burgundionum 	19
Lex Ribuaria 	36
Lex Romana Burgundionum 	18
Lex Romana Visigothorum 	102
Lex salica 	88
Liber de sancta Trinitate 	59
Liber Floretus 	60
Liber Glossarum 	80
Liber historiae Francorum 	50
Liber pontificalis 	125
Liber quare 	56
Libri feudorum 	160
Expositio super regulam beati Augustini 	283
Flores psalmorum 	30
De disputatione vitae suae 	81
Flores grammaticae 	27
De itinere Terrae Sanctae 	31
Vita Christi 	50
Lumen animae 	205
De astrolabio 	32
De metris Boetii 	62
Vita sancti Maximini episcopi 	50
Magna est differentia inter predicacionem et doctrinam 	50
Venenum vitiorum 	70
Malogranatum 	150
Liber lapidum seu de gemmis 	161
Tractatus septiformis de moralitatibus rerum 	17
